"","sub","item","seq","xPos","yPos","x1","x2","y1","y2","fix_num","fix_dur","word_text","word_sent","word_line","line","sent","wordID","word_len","predict","VA","Rtn_sweep","Rtn_sweep_type","prevX","nextX","freq","zipf","LandStartVA","prevVA","undersweep_prob"
"14655","sub06",33,40,241.4,199.4,172,276,154,246,17,258,18,18,1,2,1,"scent.",5,0.047619048,0.33,1,"accurate",1302.4,378.7,304,3.776133981,1.76,28.285,0
"14706","sub06",54,41,528.7,282.6,506,589,246,338,32,179,40,11,5,3,3,"became",6,0.025641026,0.33,1,"under-sweep",1207.5,389,2435,4.678511426,8.9425,25.9125,1
"14748","sub06",7,42,274.1,295.7,242,350,246,338,25,176,35,19,2,3,3,"couldn't",8,0.170731707,0.33,1,"accurate",1358.9,443.8,11,2.371015388,2.5775,29.6975,0
"14757","sub06",7,42,329.9,371.6,326,410,338,422,34,202,54,38,3,4,3,"shaggy",6,0,0.33,1,"under-sweep",1323.4,248.1,78,3.189461233,3.9725,28.81,1
"14782","sub06",27,43,247.5,195.1,171,266,154,245,20,222,17,5,1,2,2,"piece",5,0,0.33,1,"accurate",1359.7,377.1,6349,5.094607867,1.9125,29.7175,0
"14843","sub06",32,44,343.9,199.9,326,373,153,246,13,174,18,18,2,2,1,"165",3,0,0.33,1,"under-sweep",1252.4,264.8,NA,NA,4.3225,27.035,1
"14855","sub06",32,44,312.5,290.2,278,314,246,330,25,107,35,13,2,3,2,"in",2,0,0.33,1,"under-sweep",1321.1,225.5,498444,6.989451386,3.5375,28.7525,1
"14886","sub06",49,45,240,294.8,172,302,246,330,20,178,37,21,1,3,2,"apparent",8,0,0.33,1,"accurate",1271.9,371.2,215,3.626287893,1.725,27.5225,0
"14953","sub06",40,47,1173,159.4,1106,1211,154,246,12,216,35,35,15,2,1,"permits.",7,0.108108108,0.33,1,"accurate",1120.5,1288.9,142,3.44717018,25.05,23.7375,0
"14993","sub06",45,48,303,287.6,278,326,246,330,19,297,35,6,3,3,3,"her",3,0.153846154,0.33,1,"accurate",1294.5,655.2,144627,6.452086523,3.3,28.0875,0
"15022","sub06",29,49,323.1,280.4,313,421,246,338,22,117,28,6,3,3,2,"island's",8,0.153846154,0.33,1,"under-sweep",1281.4,251.9,230,3.655446122,3.8025,27.76,1
"15032","sub06",29,49,281.6,362,171,338,338,422,32,221,42,20,1,4,2,"deportation",11,0,0.33,1,"accurate",1293.5,395,40,2.904617999,2.765,28.0625,0
"15091","sub06",46,51,272,286,171,289,245,338,20,228,31,6,1,3,2,"Earth's",7,0,0.33,1,"accurate",1258.1,392.5,11,2.371015388,2.525,27.1775,0
"15175","sub06",17,53,527.8,157.2,470,554,154,246,3,183,22,5,5,2,2,"limits",6,0.024390244,0.33,1,"accurate",351.8,577.1,367,3.857681961,8.92,4.52,0
